Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total
3234;;;-4,207528;17,940628;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3235;;;-4,207702;17,940796;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3236;;;-4,207756;17,940972;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;2
3237;;;-4,207153;17,940363;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;1
3238;;;-4,206925;17,940128;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3239;;;-4,207296;17,940745;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3240;;;-4,207137;17,941022;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3241;;;-4,207402;17,941533;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3242;;;-4,207602;17,941988;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3243;;;-4,207799;17,942534;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3244;;;-4,207613;17,942937;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3245;;;-4,207354;17,94339;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3246;;;-4,207063;17,943794;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3247;;;-4,206945;17,944183;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3248;;;-4,206754;17,945107;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3249;;;-4,206645;17,945965;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3250;;;-4,206558;17,946897;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3251;;;-4,206515;17,947769;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3252;;;-4,206055;17,948622;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3253;;;-4,205707;17,949541;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3254;;;-4,205771;17,950339;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3255;;;-4,205895;17,951304;Degradated forest;Surv Apr-Jun 2016;6/5/16;1;0
3256;;;-4,191502;17,958026;Sangi village;Surv Apr-Jun 2016;6/5/16;1;0
