Site;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
YAS08;T7;5/1/17;5/3/17;IN;0;0;0;;0,000709610900656426;Lukula;0;361;361;0
YAS08;T3;4/26/16;4/28/16;IN;0;0;0;;0,00696896055987747;Lukula;0;361;361;0
YAS08;T0;7/2/15;7/4/15;IN;0;0;0;; ; ; ;361; ; 
YAS08;T1;11/23/15;11/25/15;IN;0;0;0;;0,0152220836514572;Lukula;0;361;361;0
YAS08;T8;7/19/17;7/21/17;IN;0;0;0;;0,000709610900656426;Lukula;0;361;361;0
ZAN1;PAUL AND RICHARDS' VILLAGES;10/28/16;10/30/16;Case;0;0;0;;1,51460929547906;Kafi;220;373;365;8
ZAN1;PAUL AND RICHARDS' VILLAGES;5/11/17;5/13/17;Case;0;1;0;;1,51460929547906;Kafi;220;373;365;8
ZAN2;PAUL AND RICHARDS' VILLAGES;10/28/16;10/30/16;Case;0;0;0;;1,45169660615596;Kafi;204;373;365;8
ZAN2;PAUL AND RICHARDS' VILLAGES;5/11/17;5/13/17;Case;0;0;0;;1,45169660615596;Kafi;204;373;365;8
ZAN3;PAUL AND RICHARDS' VILLAGES;5/11/17;5/13/17;Case;0;0;0;;1,34810501906961;Kafi;198;373;365;8
ZAN3;PAUL AND RICHARDS' VILLAGES;10/28/16;10/30/16;Case;0;0;0;;1,34810501906961;Kafi;198;373;365;8
ZAN4;PAUL AND RICHARDS' VILLAGES;10/28/16;10/30/16;Case;0;0;0;;1,23723367547548;Kafi;202;373;365;8
ZAN4;PAUL AND RICHARDS' VILLAGES;5/11/17;5/13/17;Case;0;0;0;;1,23723367547548;Kafi;202;373;365;8
ZAN5;PAUL AND RICHARDS' VILLAGES;10/28/16;10/30/16;Case;0;0;0;;1,36655547870309;Kafi;88;428;366;62
ZAN5;PAUL AND RICHARDS' VILLAGES;5/11/17;5/13/17;Case;1;0;0;trap on path to pond;1,36655547870309;Kafi;88;428;366;62
ZAN6;PAUL AND RICHARDS' VILLAGES;10/28/16;10/30/16;Case;0;0;0;;1,32824232253809;Kafi;95;431;366;65
