Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
36;;;-4,52581;17,936333;Cassava field;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
37;;;-4,525803;17,93714;Cassava field;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
38;;;-4,525651;17,937942;Cassava field;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
39;;;-4,527617;17,935664;Cassava field;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
40;;;-4,53013;17,934677;;Preliminary survey;2/9/15;1;2;Preliminary survey;2/9/15;2/11/15;;2;0;0;Two days rain; ; ; ;358; ; 
41;;;-4,529999;17,934906;Bush;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
42;;;-4,501061;17,965184;;Preliminary survey;2/9/15;1;2;Preliminary survey;2/9/15;2/11/15;;1;1;0;Two days rain; ; ; ;359; ; 
43;;;-4,50174;17,96526;Hill;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;368; ; 
44;;;-4,50244;17,965035;Hill;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;374; ; 
45;;;-4,503171;17,965693;Hill;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;; ; ; ;Missing; ; ; ;392; ; 
46;;;-4,503503;17,966577;Hill;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;399; ; 
47;;;-4,504011;17,967659;;Preliminary survey;2/9/15;1;2;Preliminary survey;2/9/15;2/11/15;;0;2;0;Two days rain; ; ; ;411; ; 
48;;;-4,551096;17,978014;;Preliminary survey;2/9/15;1;2;Preliminary survey;2/9/15;2/11/15;;2;0;0;Two days rain; ; ; ;365; ; 
49;;;-4,550589;17,977886;;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;365; ; 
50;;;-4,460878;17,962006;;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;354; ; 
51;;;-4,46103;17,961846;;Preliminary survey;2/9/15;1;1;Preliminary survey;2/9/15;2/11/15;;0;1;0;Two days rain; ; ; ;354; ; 
52;;;-4,46076;17,962253;Hill;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;354; ; 
53;;;-4,461272;17,962877;Hill/Cassava field;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
54;;;-4,461467;17,963827;Hill/Cassava field;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;375; ; 
55;;;-4,461358;17,964767;Hill/Cassava field;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Ants; ; ; ;386; ; 
56;;;-4,460818;17,965788;Hill/Cassava field;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;398; ; 
57;;;-4,460575;17,966816;Hill/Cassava field;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;405; ; 
58;;;-4,460396;17,967788;Hill/Cassava field;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;410; ; 
